triangle_key,frequency
BTC|BUSD|UNI,1
BTC|BUSD|USDT,1
BTC|BUSD|VET,2084
BTC|BUSD|VIDT,236
BTC|BUSD|WAVES,3
BTC|BUSD|WING,181
BTC|BUSD|WRX,19
BTC|BUSD|XLM,1
BTC|BUSD|XMR,1
BTC|BUSD|XRP,1
BTC|BUSD|XVG,3375
BTC|BUSD|XVS,15
BTC|BUSD|YFI,26
BTC|BUSD|YFII,62
BTC|BUSD|ZEC,1
BTC|BUSD|ZIL,516
BTC|BUSD|ZRX,1
BTC|CDT|ETH,1826
BTC|CELO|USDT,2
BTC|CELR|USDT,8935
BTC|CHR|USDT,416
BTC|CHZ|EUR,1
BTC|CHZ|TRY,342
BTC|CHZ|USDT,3018
BTC|CMT|ETH,402
BTC|COMP|USDT,16
BTC|COS|USDT,9859
BTC|COTI|USDT,73
BTC|CRV|USDT,13
BTC|CTK|USDT,19
BTC|CTSI|USDT,98
BTC|CTXC|USDT,45
BTC|CVC|ETH,109
BTC|CVC|USDT,55
BTC|DAI|ETH,18
BTC|DAI|USDT,96
BTC|DASH|ETH,306
BTC|DATA|ETH,392
BTC|DATA|USDT,540
BTC|DCR|USDT,56
BTC|DGB|USDT,6473
BTC|DGD|ETH,256
BTC|DIA|USDT,9
BTC|DLT|ETH,534
BTC|DNT|ETH,501
BTC|DNT|USDT,129
BTC|DOCK|USDT,2506
BTC|DOGE|EUR,153
BTC|DOGE|GBP,40
BTC|DOGE|TRY,108
BTC|DOGE|USDT,3572
BTC|DOT|EUR,1
BTC|DREP|USDT,2559
BTC|DUSK|USDT,137
BTC|EGLD|EUR,6
BTC|ELF|ETH,326
BTC|ENG|ETH,884
BTC|ENJ|ETH,428
BTC|ENJ|EUR,4
BTC|ENJ|USDT,46
BTC|EOS|ETH,296
BTC|EOS|EUR,2
BTC|EOS|TRY,1
BTC|EOS|TUSD,39
BTC|EOS|USDC,20
BTC|ETC|ETH,258
BTC|ETH|EUR,10
BTC|ETH|EVX,477
BTC|ETH|FUN,3471
BTC|ETH|GBP,2
BTC|ETH|GNT,130
BTC|ETH|GTO,440
BTC|ETH|GVT,721
BTC|ETH|GXS,240
BTC|ETH|HOT,6926
BTC|ETH|ICX,79
BTC|ETH|IOST,1747
BTC|ETH|IOTA,567
BTC|ETH|IOTX,2344
BTC|ETH|KMD,436
BTC|ETH|KNC,832
BTC|ETH|LEND,566
BTC|ETH|LINK,1037
BTC|ETH|LOOM,330
BTC|ETH|LRC,768
BTC|ETH|LSK,652
BTC|ETH|LTC,32
BTC|ETH|MANA,322
BTC|ETH|MCO,1899
BTC|ETH|MDA,1077
BTC|ETH|MTL,393
BTC|ETH|NANO,32
BTC|ETH|NAS,507
BTC|ETH|NCASH,919
BTC|ETH|NEBL,492
BTC|ETH|NEO,605
BTC|ETH|NULS,1523
BTC|ETH|OAX,348
BTC|ETH|OMG,593
BTC|ETH|ONT,23
BTC|ETH|OST,1300
BTC|ETH|PAX,1
BTC|ETH|PIVX,235
BTC|ETH|POE,552
BTC|ETH|POWR,812
BTC|ETH|PPT,529
BTC|ETH|QKC,1543
BTC|ETH|QLC,664
BTC|ETH|QSP,2112
BTC|ETH|QTUM,954
