triangle_key,2017,2018,2019,2020,2021,2022
BNB|BTC|FTM,0,0,20,149,25,0
BLZ|BNB|BTC,0,127,38,14,12,0
BNB|ETH|USDT,182,5,0,0,0,0
BTC|ETH|STEEM,0,77,37,26,45,1
BNB|EOS|ETH,0,9,0,0,173,0
BTC|BUSD|TRB,0,0,0,58,121,2
BTC|BUSD|WING,0,0,0,78,87,16
BTC|HBAR|USDT,0,0,10,107,62,0
BTC|LINK|TUSD,0,0,97,28,52,0
BNB|EOS|USDT,0,11,1,0,163,1
BNB|ETH|LTC,108,67,0,0,0,0
BNB|BTC|PERL,0,0,5,32,101,37
ETH|HOT|TRY,0,0,0,0,26,149
BNB|ETH|HOT,0,0,20,19,126,5
BNB|BTC|ONT,0,152,4,3,10,0
BTT|TUSD|USDT,0,0,52,14,103,0
BTC|TRY|VET,0,0,0,0,47,116
LINK|USDC|USDT,0,0,145,17,0,0
BNB|BTC|NEO,71,89,0,1,0,1
BUSD|ETH|SLP,0,0,0,0,21,140
BUSD|STRAX|USDT,0,0,0,6,150,4
BNB|BUSD|EOS,0,0,0,3,154,1
BNB|BTC|ENJ,0,62,49,31,14,2
AVA|BUSD|USDT,0,0,0,5,142,7
BTC|DOGE|EUR,0,0,0,0,153,0
ANKR|BNB|USDT,0,0,14,90,29,18
BTC|ETH|RLC,0,75,55,10,3,2
BNB|ETH|NEO,59,72,6,2,1,0
ETH|NEO|USDT,107,30,0,1,0,0
BTC|DUSK|USDT,0,0,17,64,56,0
AION|BTC|USDT,0,0,0,16,32,89
BAT|BNB|ETH,8,119,5,2,2,0
USDC|USDT|ZEC,0,0,6,63,38,28
BEL|BUSD|USDT,0,0,0,41,89,4
BTC|LINK|USDC,0,0,121,13,0,0
BLZ|BNB|ETH,0,102,14,3,15,0
BNB|BUSD|CAKE,0,0,0,111,22,0
BNB|ETH|WAVES,22,94,7,2,4,3
BNB|BTC|OGN,0,0,0,19,110,2
BTC|ETH|GNT,0,59,32,39,0,0
BTC|BUSD|HARD,0,0,0,43,85,2
BNB|TROY|USDT,0,0,22,55,46,7
BTC|DNT|USDT,0,0,0,25,15,89
BTC|ETH|XRP,128,0,0,0,0,0
AUDIO|BUSD|USDT,0,0,0,9,71,48
BTC|SAND|USDT,0,0,0,44,82,0
BNB|NEO|USDT,53,72,0,1,0,0
BTC|NEO|USDT,105,18,0,0,0,0
BTC|ROSE|USDT,0,0,0,19,100,3
BTC|NULS|USDT,0,56,26,19,13,8
ADA|BTC|ETH,120,2,0,0,0,0
ADA|TUSD|USDT,0,0,4,35,78,3
DAI|ETH|USDT,0,0,0,119,0,0
BTC|ETH|THETA,0,36,20,59,4,0
BNB|ETH|WAN,0,97,13,1,7,0
BTC|NGN|USDT,0,0,0,54,60,4
BNB|BTC|THETA,0,61,23,18,15,1
ETH|THETA|USDT,0,0,19,89,7,0
BUSD|CTSI|USDT,0,0,0,29,86,0
BNB|MITH|USDT,0,0,65,15,27,7
BTC|CVC|ETH,0,32,29,16,32,0
BTC|BUSD|MATIC,0,0,0,34,74,0
BTC|DOGE|TRY,0,0,0,0,108,0
BNB|BUSD|XRP,0,0,0,3,104,0
BTC|ETH|ZEN,0,24,51,25,5,0
BTC|ETH|REP,0,22,29,35,19,0
BUSD|CELR|USDT,0,0,0,0,104,0
BNB|BTC|XRP,0,21,0,1,81,0
BNB|ETH|ONT,0,98,1,1,1,0
AE|BTC|ETH,0,51,21,28,0,0
ATOM|USDC|USDT,0,0,28,19,53,0
BTC|BUSD|RUNE,0,0,0,99,0,0
BTC|BUSD|UNFI,0,0,0,44,54,1
BTC|CTSI|USDT,0,0,0,52,45,1
BNB|CELR|USDT,0,0,12,33,44,7
BTC|DAI|USDT,0,0,0,96,0,0
BNB|BTC|ZEN,0,50,25,12,9,0
BNB|ETH|ZIL,0,77,14,1,2,0
BTC|BUSD|FXS,0,0,0,0,84,10
BUSD|DODO|USDT,0,0,0,0,5,89
DATA|ETH|USDT,0,0,0,32,43,17
AVA|BTC|BUSD,0,0,0,45,46,1
BNB|USDT|XRP,0,17,0,1,73,0
BTC|BUSD|PSG,0,0,0,8,78,3
ARDR|BTC|USDT,0,0,0,23,65,0
BNB|ETH|SC,0,32,39,4,11,0
BNB|ETH|MFT,0,29,35,5,16,0
BTC|BUSD|CTSI,0,0,0,19,63,0
ATOM|BTC|USDC,0,0,29,15,38,0
BTC|EUR|TRX,0,0,0,0,45,37
BUSD|SLP|USDT,0,0,0,0,22,58
BTC|USDC|ZEC,0,0,8,33,19,20
BTC|ETH|ICX,65,3,5,3,1,2
ETH|FUN|USDT,0,0,11,21,45,2
BTC|BUSD|ROSE,0,0,0,1,77,1
ALPHA|BUSD|USDT,0,0,0,35,43,0
BTC|USDT|WING,0,0,0,11,50,16
BNB|EUR|XRP,0,0,0,3,74,0
BUSD|DIA|USDT,0,0,0,33,24,19
ADA|BTC|TUSD,0,0,2,21,49,3
BNB|BTC|RUNE,0,0,0,68,7,0
BTC|KMD|USDT,0,0,0,14,56,4
BUSD|USDT|YFII,0,0,0,73,0,1
BTC|REP|USDT,0,0,0,49,16,8
BTC|COTI|USDT,0,0,0,33,40,0
ETH|LINK|TUSD,0,0,20,17,36,0
